Gemeindename;PLZ
Aeugst am Albis;8914
Aeugst am Albis;8914
Affoltern am Albis;8909
Affoltern am Albis;8910
Bonstetten;8906
Hausen am Albis;8915
Hausen am Albis;8925
Hedingen;8908
Kappel am Albis;8926
Kappel am Albis;8926
Kappel am Albis;8926
Knonau;8934
Maschwanden;8933
Mettmenstetten;8932
Obfelden;8912
Ottenbach;8913
Rifferswil;8911
Stallikon;8143
Stallikon;8143
Wettswil am Albis;8907
Adlikon;8452
Benken (ZH);8463
Berg am Irchel;8415
Berg am Irchel;8415
Buch am Irchel;8414
Dachsen;8447
Dorf;8458
Feuerthalen;8245
Feuerthalen;8246
Flaach;8416
Flurlingen;8247
Andelfingen;8450
Henggart;8444
Humlikon;8457
Kleinandelfingen;8451
Kleinandelfingen;8453
Kleinandelfingen;8461
Laufen-Uhwiesen;8212
Laufen-Uhwiesen;8248
Marthalen;8460
Marthalen;8464
Oberstammheim;8477
Ossingen;8475
Rheinau;8462
Thalheim an der Thur;8478
Trüllikon;8465
Trüllikon;8465
Trüllikon;8466
Truttikon;8467
Unterstammheim;8476
Volken;8459
Waltalingen;8468
Waltalingen;8468
Bachenbülach;8184
Bassersdorf;8303
Bülach;8180
Dietlikon;8305
Eglisau;8193
Embrach;8424
Freienstein-Teufen;8427
Freienstein-Teufen;8428
Glattfelden;8192
Glattfelden;8192
Hochfelden;8182
Höri;8181
Hüntwangen;8194
Kloten;8302
Lufingen;8426
Nürensdorf;8309
Oberembrach;8425
Opfikon;8152
Opfikon;8152
Opfikon;8152
Rafz;8197
Rorbas;8427
Wallisellen;8304
Wasterkingen;8195
Wil (ZH);8196
Winkel;8185
Bachs;8164
Boppelsen;8113
Buchs (ZH);8107
Dällikon;8108
Dänikon;8114
Dielsdorf;8157
Hüttikon;8115
Neerach;8173
Niederglatt;8172
Niederhasli;8155
Niederhasli;8155
Niederhasli;8156
Niederweningen;8166
Oberglatt;8154
Oberweningen;8165
Otelfingen;8112
Regensberg;8158
Regensdorf;8105
Regensdorf;8105
Regensdorf;8106
Rümlang;8153
Schleinikon;8165
Schöfflisdorf;8165
Stadel;8174
Stadel;8175
Steinmaur;8162
Steinmaur;8162
Weiach;8187
Bäretswil;8344
Bäretswil;8345
Bubikon;8608
Bubikon;8633
Dürnten;8632
Dürnten;8635
Fischenthal;8496
Fischenthal;8497
Fischenthal;8498
Gossau (ZH);8614
Gossau (ZH);8624
Gossau (ZH);8625
Gossau (ZH);8626
Grüningen;8627
Hinwil;8340
Hinwil;8342
Rüti (ZH);8630
Seegräben;8607
Wald (ZH);8636
Wald (ZH);8637
Wetzikon (ZH);8620
Wetzikon (ZH);8623
Adliswil;8134
Hütten;8825
Kilchberg (ZH);8802
Langnau am Albis;8135
Oberrieden;8942
Richterswil;8805
Richterswil;8833
Rüschlikon;8803
Schönenberg (ZH);8824
Thalwil;8136
Thalwil;8800
Wädenswil;8804
Wädenswil;8820
Erlenbach (ZH);8703
Herrliberg;8704
Hombrechtikon;8634
Hombrechtikon;8714
Küsnacht (ZH);8127
Küsnacht (ZH);8700
Männedorf;8708
Meilen;8706
Oetwil am See;8618
Stäfa;8712
Stäfa;8713
Uetikon am See;8707
Zumikon;8126
Zollikon;8125
Zollikon;8702
Fehraltorf;8320
Hittnau;8335
Lindau;8310
Lindau;8310
Lindau;8312
Lindau;8315
Lindau;8317
Pfäffikon;8330
Pfäffikon;8331
Russikon;8322
Russikon;8322
Russikon;8332
Russikon;8332
Weisslingen;8484
Weisslingen;8484
Weisslingen;8484
Wila;8492
Wildberg;8489
Wildberg;8489
Wildberg;8489
Dübendorf;8044
Dübendorf;8600
Egg;8132
Egg;8132
Egg;8133
Fällanden;8117
Fällanden;8118
Fällanden;8121
Greifensee;8606
Maur;8122
Maur;8123
Maur;8124
Mönchaltorf;8617
Schwerzenbach;8603
Uster;8606
Uster;8610
Uster;8614
Uster;8615
Uster;8615
Uster;8616
Volketswil;8604
Volketswil;8605
Wangen-Brüttisellen;8306
Wangen-Brüttisellen;8602
Altikon;8479
Brütten;8311
Dägerlen;8471
Dägerlen;8471
Dägerlen;8471
Dägerlen;8471
Dägerlen;8471
Dättlikon;8421
Dinhard;8474
Ellikon an der Thur;8548
Elsau;8352
Hagenbuch;8523
Hettlingen;8442
Neftenbach;8412
Neftenbach;8412
Neftenbach;8412
Neftenbach;8413
Pfungen;8422
Rickenbach (ZH);8545
Rickenbach (ZH);8545
Schlatt (ZH);8418
Seuzach;8472
Turbenthal;8488
Turbenthal;8495
Winterthur;8352
Winterthur;8400
Winterthur;8404
Winterthur;8404
Winterthur;8404
Winterthur;8405
Winterthur;8406
Winterthur;8408
Winterthur;8409
Winterthur;8482
Zell (ZH);8483
Zell (ZH);8486
Zell (ZH);8487
Zell (ZH);8487
Aesch (ZH);8904
Birmensdorf (ZH);8903
Dietikon;8953
Geroldswil;8951
Geroldswil;8954
Oberengstringen;8102
Oetwil an der Limmat;8955
Schlieren;8952
Uitikon;8142
Unterengstringen;8103
Urdorf;8902
Weiningen (ZH);8104
Zürich;8001
Zürich;8002
Zürich;8003
Zürich;8004
Zürich;8005
Zürich;8006
Zürich;8008
Zürich;8032
Zürich;8037
Zürich;8038
Zürich;8041
Zürich;8044
Zürich;8045
Zürich;8046
Zürich;8047
Zürich;8048
Zürich;8049
Zürich;8050
Zürich;8051
Zürich;8052
Zürich;8053
Zürich;8055
Zürich;8057
Zürich;8064
Elgg;8353
Elgg;8354
Elgg;8354
Horgen;8135
Horgen;8135
Horgen;8810
Horgen;8815
Horgen;8816
Illnau-Effretikon;8307
Illnau-Effretikon;8307
Illnau-Effretikon;8308
Illnau-Effretikon;8308
Illnau-Effretikon;8314
Bauma;8493
Bauma;8494
Bauma;8499
Wiesendangen;8542
Wiesendangen;8543
Wiesendangen;8543
Wiesendangen;8543
Wiesendangen;8544
Wiesendangen;8546
Aarberg;3270
Bargen (BE);3282
Grossaffoltern;3257
Grossaffoltern;3257
Grossaffoltern;3262
Kallnach;3283
Kallnach;3283
Kappelen;3273
Lyss;3250
Lyss;3292
Meikirch;3042
Meikirch;3045
Meikirch;3046
Radelfingen;3036
Radelfingen;3271
Rapperswil (BE);3053
Rapperswil (BE);3251
Rapperswil (BE);3255
Rapperswil (BE);3256
Rapperswil (BE);3256
Rapperswil (BE);3256
Schüpfen;3054
Seedorf (BE);3035
Seedorf (BE);3266
Seedorf (BE);3267
Seedorf (BE);3268
Aarwangen;4912
Auswil;4944
Bannwil;4913
Bleienbach;3368
Busswil bei Melchnau;4917
Gondiswil;4955
Langenthal;4900
Langenthal;4916
Lotzwil;4932
Madiswil;4932
Madiswil;4934
Madiswil;4935
Madiswil;4936
Melchnau;4917
Obersteckholz;4924
Oeschenbach;4943
Reisiswil;4919
Roggwil (BE);4914
Rohrbach;4938
Rohrbachgraben;4938
Rütschelen;4933
Schwarzhäusern;4911
Thunstetten;4922
Thunstetten;4922
Ursenbach;4937
Wynau;4923
Bern;3004
Bern;3005
Bern;3006
Bern;3007
Bern;3008
Bern;3010
Bern;3011
Bern;3011
Bern;3012
Bern;3013
Bern;3014
Bern;3015
Bern;3018
Bern;3019
Bern;3020
Bern;3027
Bolligen;3065
Bremgarten bei Bern;3047
Kirchlindach;3037
Kirchlindach;3038
Köniz;3084
Köniz;3095
Köniz;3097
Köniz;3098
Köniz;3098
Köniz;3144
Köniz;3145
Köniz;3147
Köniz;3172
Köniz;3173
Köniz;3174
Muri bei Bern;3073
Muri bei Bern;3074
Oberbalm;3096
Stettlen;3066
Vechigen;3067
Vechigen;3068
Wohlen bei Bern;3032
Wohlen bei Bern;3033
Wohlen bei Bern;3034
Wohlen bei Bern;3043
Wohlen bei Bern;3044
Wohlen bei Bern;3049
Zollikofen;3052
Ittigen;3048
Ittigen;3063
Ostermundigen;3072
Biel/Bienne;2502
Biel/Bienne;2503
Biel/Bienne;2504
Biel/Bienne;2505
Evilard;2532
Evilard;2533
Arch;3296
Büetigen;3263
Büren an der Aare;3294
Diessbach bei Büren;3264
Dotzigen;3293
Lengnau (BE);2543
Leuzigen;3297
Meienried;3294
Meinisberg;2554
Oberwil bei Büren;3298
Pieterlen;2542
Rüti bei Büren;3295
Wengi;3251
Aefligen;3426
Alchenstorf;3473
Bäriswil;3323
Burgdorf;3400
Ersigen;3423
Ersigen;3424
Ersigen;3424
Hasle bei Burgdorf;3415
Hasle bei Burgdorf;3415
Hasle bei Burgdorf;3419
Heimiswil;3412
Heimiswil;3413
Hellsau;3429
Hindelbank;3324
Höchstetten;3429
Kernenried;3309
Kirchberg (BE);3422
Koppigen;3425
Krauchthal;3325
Krauchthal;3326
Lyssach;3421
Mötschwil;3324
Oberburg;3414
Oberburg;3421
Rüdtligen-Alchenflüh;3422
Rüdtligen-Alchenflüh;3422
Rumendingen;3472
Rüti bei Lyssach;3421
Willadingen;3425
Wynigen;3472
Wynigen;3474
Corgémont;2606
Cormoret;2610
Cormoret;2612
Cortébert;2607
Cortébert;2608
Courtelary;2608
La Ferrière;2333
Mont-Tramelan;2723
Orvin;2534
Orvin;2534
Renan (BE);2616
Romont (BE);2538
Saint-Imier;2345
Saint-Imier;2610
Saint-Imier;2610
Saint-Imier;2610
Sonceboz-Sombeval;2605
Sonvilier;2615
Sonvilier;2615
Tramelan;2720
Tramelan;2722
Villeret;2613
Sauge;2535
Sauge;2536
Sauge;2537
Péry-La Heutte;2603
Péry-La Heutte;2604
Brüttelen;3237
Erlach;3235
Finsterhennen;2577
Gals;3238
Gampelen;3236
Ins;3232
Lüscherz;2576
Müntschemier;3225
Siselen;2577
Treiten;3226
Tschugg;3233
Vinelz;3234
Bätterkinden;3315
Bätterkinden;3315
Deisswil bei Münchenbuchsee;3053
Diemerswil;3053
Fraubrunnen;3306
Fraubrunnen;3308
Fraubrunnen;3309
Fraubrunnen;3312
Fraubrunnen;3313
Fraubrunnen;3314
Fraubrunnen;3317
Fraubrunnen;3317
Jegenstorf;3303
Jegenstorf;3303
Jegenstorf;3303
Jegenstorf;3305
Iffwil;3305
Mattstetten;3322
Moosseedorf;3302
Münchenbuchsee;3053
Urtenen-Schönbühl;3322
Utzenstorf;3427
Wiggiswil;3053
Wiler bei Utzenstorf;3428
Zielebach;4564
Zuzwil (BE);3303
Adelboden;3715
Aeschi bei Spiez;3703
Aeschi bei Spiez;3703
